rom_address	function	instruction
0x1CE5	jump_1CAA	movx @DPTR, A
0x1CE7	jump_1CAA	movx @DPTR, A
0x1CF6	jump_1CF3	movx A, @DPTR
0x1CFD	jump_1CF3	movx A, @DPTR
0x1D00	jump_1CF3	movx A, @DPTR
0x1D05	jump_1CF3	movx A, @DPTR
0x1D08	jump_1CF3	movx A, @DPTR
0x1D16	jump_1CF3	movx A, @DPTR
0x1D1B	jump_1CF3	movx A, @DPTR
0x1D1E	jump_1CF3	movx A, @DPTR
0x1D23	jump_1CF3	movx A, @DPTR
0x1D26	jump_1CF3	movx A, @DPTR
0x1D2F	jump_1CF3	movx @DPTR, A
0x1D36	jump_1CF3	movx @DPTR, A
0x1D3E	jump_1D3B	movx A, @DPTR
0x1D41	jump_1D3B	movx A, @DPTR
0x1D46	jump_1D3B	movx A, @DPTR
0x1D49	jump_1D3B	movx A, @DPTR
0x1D4C	jump_1D3B	movx A, @DPTR
0x1D58	jump_1D3B	movx @DPTR, A
0x1D5F	jump_1D5B	movx @DPTR, A
0x1D65	jump_1D62	movx A, @DPTR
0x1F60	jump_1F49	movx @DPTR, A
0x1F64	jump_1F49	movx @DPTR, A
0x1F8A	jump_1F6A	movx @DPTR, A
0x1F91	jump_1F6A	movx @DPTR, A
0x1FB6	jump_1F98	movx @DPTR, A
0x1FBE	jump_1F98	movx @DPTR, A
0x1FE4	jump_1FC6	movx @DPTR, A
0x1FEB	jump_1FC6	movx @DPTR, A
0x200E	jump_1FF1	movx @DPTR, A
0x2015	jump_1FF1	movx @DPTR, A
0x203E	jump_201B	movx @DPTR, A
0x2043	jump_201B	movx @DPTR, A
0x204D	jump_2048	movx @DPTR, A
0x2051	jump_2048	movx @DPTR, A
0x2055	jump_2052	movx A, @DPTR
0x2058	jump_2052	movx A, @DPTR
0x206A	jump_2052	movx @DPTR, A
0x2070	jump_2052	movx @DPTR, A
0x2097	jump_2077	movx @DPTR, A
0x209D	jump_2077	movx @DPTR, A
0x20CB	jump_20AB	movx @DPTR, A
0x20D2	jump_20AB	movx @DPTR, A
0x2100	jump_20DF	movx @DPTR, A
0x2106	jump_20DF	movx @DPTR, A
0x2130	jump_2110	movx @DPTR, A
0x2136	jump_2110	movx @DPTR, A
0x2161	jump_2143	movx @DPTR, A
0x2169	jump_2143	movx @DPTR, A
0x2174	jump_2170	movx @DPTR, A
0x2178	jump_2170	movx @DPTR, A
0x217C	jump_2179	movx A, @DPTR
0x217F	jump_2179	movx A, @DPTR
0x220C	jump_2204	movx @DPTR, A
0x2301	dptr_2211	movx @DPTR, A
0x2318	dptr_2211	movx @DPTR, A
0x231D	dptr_2211	movx A, @DPTR
0x2330	jump_2322	movx @DPTR, A
0x2348	jump_2322	movx @DPTR, A
0x234E	jump_2322	movx A, @DPTR
0x2362	jump_2353	movx @DPTR, A
0x237B	jump_2353	movx @DPTR, A
0x2382	jump_2353	movx A, @DPTR
0x2397	jump_2387	movx @DPTR, A
0x23B1	jump_2387	movx @DPTR, A
0x23BD	jump_2387	movx A, @DPTR
0x23D1	jump_23C2	movx A, @DPTR
0x23D8	jump_23C2	movx A, @DPTR
0x23DC	jump_23C2	movx @DPTR, A
0x23E0	jump_23C2	movx A, @DPTR
0x23E4	jump_23C2	movx @DPTR, A
0x23E5	jump_23C2	movx A, @DPTR
0x23E8	jump_23C2	movx A, @DPTR
0x23F0	jump_23C2	movx @DPTR, A
0x23F3	jump_23C2	movx @DPTR, A
0x23F7	jump_23C2	movx A, @DPTR
0x23FA	jump_23C2	movx A, @DPTR
0x2400	jump_23C2	movx A, @DPTR
0x2406	jump_23C2	movx A, @DPTR
0x240C	jump_23C2	movx @DPTR, A
0x240F	jump_23C2	movx @DPTR, A
0x2413	jump_23C2	movx A, @DPTR
0x2416	jump_23C2	movx A, @DPTR
0x241B	jump_23C2	movx @DPTR, A
0x241E	jump_23C2	movx @DPTR, A
0x2428	jump_2423	movx @DPTR, A
0x242A	jump_2423	movx @DPTR, A
0x242E	jump_2423	movx A, @DPTR
0x2431	jump_2423	movx A, @DPTR
0x2439	jump_2423	movx @DPTR, A
0x243C	jump_2423	movx @DPTR, A
0x2486	jump_247B	movx @DPTR, A
0x2F7D	jump_2F7D	movx @DPTR, A
0x2F8B	jump_2F8B	movx @DPTR, A
0x2FA6	jump_2FA6	movx @R0, A
0x3007	jump_2FFC	movx @DPTR, A
0x3078	jump_3066	movx @DPTR, A
0x3097	jump_3087	movx A, @DPTR
0x322B	jump_321C	movx @DPTR, A
0x3405	jump_33F8	movx A, @DPTR
0x345F	jump_3452	movx A, @DPTR
0x347D	jump_3470	movx A, @DPTR
0x349B	jump_348E	movx A, @DPTR
0x34B9	jump_34AC	movx A, @DPTR
0x354F	jump_3542	movx A, @DPTR
0x35C5	jump_35BE	movx A, @DPTR
0x35D7	jump_35D7	movx A, @R1
0x35E6	jump_35D9	movx A, @DPTR
0x3606	jump_3602	movx A, @R0
0x360F	jump_3608	movx @DPTR, A
0x3619	jump_3618	movx @R1, A
0x36BF	jump_36BB	movx A, @DPTR
0x36C1	jump_36BB	movx @DPTR, A
0x36CD	jump_36CD	movx A, @DPTR
0x36CF	jump_36CD	movx @DPTR, A
0x36D3	jump_36D1	movx A, @DPTR
0x36D8	jump_36D1	movx @DPTR, A
0x36E1	jump_36E1	movx A, @DPTR
0x36E4	jump_36E1	movx @DPTR, A
0x36EE	jump_36E7	movx @DPTR, A
0x36F2	jump_36E7	movx @DPTR, A
0x3700	jump_36FF	movx @R1, A
0x3704	jump_36FF	movx @R1, A
0x3717	jump_3708	movx @DPTR, A
0x371B	jump_3708	movx @DPTR, A
0x3730	jump_372B	movx @R0, A
0x3734	jump_372B	movx @R0, A
